timestep,reward
136,0.18599999999999972
11845,0.145
23476,0.04500000000000003
35882,0.10490000000000001
47997,0.022200000000000015
60581,0.18320000000000003
73266,0.18329999999999988
86443,0.16009999999999994
99591,0.08040000000000001
113136,0.13659999999999992
127594,0.14759999999999984
142122,0.1789999999999999
156391,0.06340000000000001
171211,0.16219999999999982
186004,0.09230000000000002
201138,0.11769999999999994
216892,0.02160000000000001
232005,0.1539999999999999
247851,0.04610000000000001
263465,0.12469999999999995
280010,0.023100000000000027
297008,0.10800000000000001
313374,0.12639999999999993
330781,0.08600000000000002
347406,0.1535999999999998
364761,0.1437999999999998
382488,0.13619999999999993
400343,0.08640000000000002
418249,0.12429999999999997
436038,0.1637999999999998
453945,0.029200000000000004
471370,0.026500000000000017
488706,0.09730000000000003
507511,0.11129999999999994
525593,0.10879999999999997
543520,0.21779999999999997
561249,0.08079999999999998
580000,0.1222
598724,0.005700000000000021
617788,0.08489999999999996
636465,0.07120000000000004
654481,0.052000000000000005
673952,0.08819999999999999
693315,0.20559999999999992
712386,0.09750000000000003
730613,0.05480000000000003
749957,0.11669999999999994
768948,0.12179999999999995
788108,0.05930000000000005
807066,0.07170000000000004
