timestep,reward,Avg Turns,Cond_Knock
120,-0.20050000000000007,15.83,0.7142857142857143
16162,-0.17920000000000016,14.51,0.7878787878787878
30337,-0.18510000000000015,14.85,0.6176470588235294
43926,-0.18390000000000012,15.44,0.5102040816326531
57432,-0.209,14.6,0.9166666666666666
70592,-0.18320000000000014,15.21,0.6956521739130435
84164,-0.23780000000000004,14.99,0.65
98006,-0.20100000000000012,14.77,0.48148148148148145
112132,-0.22570000000000007,14.51,0.5238095238095238
125882,-0.24820000000000003,14.76,0.6538461538461539
139794,-0.2043000000000002,14.82,0.41304347826086957
153082,-0.2443000000000001,15.48,0.4857142857142857
167432,-0.20470000000000005,15.0,0.6285714285714286
181381,-0.21960000000000005,15.07,0.4838709677419355
195745,-0.2502,15.45,0.5357142857142857
210312,-0.2719,15.89,0.5641025641025641
224352,-0.25170000000000026,15.62,0.5151515151515151
238845,-0.22180000000000014,15.71,0.5454545454545454
253417,-0.1899,15.5,0.5333333333333333
267934,-0.20010000000000008,15.72,0.3333333333333333
281513,-0.22260000000000005,14.44,0.5454545454545454
295745,-0.2255000000000001,16.92,0.5294117647058824
309935,-0.21110000000000004,15.01,0.53125
324874,-0.2673000000000001,15.05,0.6129032258064516
339099,-0.24560000000000012,15.27,0.5333333333333333
353361,-0.27640000000000015,15.24,0.34210526315789475
368652,-0.2457000000000001,15.26,0.5
383257,-0.20850000000000007,14.44,0.5806451612903226
397884,-0.2224000000000001,14.29,0.45652173913043476
412001,-0.24519999999999997,14.2,0.47058823529411764
426492,-0.18180000000000013,14.99,0.47368421052631576
440900,-0.24899999999999994,16.31,0.5142857142857142
455383,-0.2567000000000001,15.77,0.35135135135135137
470140,-0.23660000000000006,15.75,0.5185185185185185
484703,-0.26990000000000014,15.54,0.5333333333333333
499403,-0.2488000000000001,14.28,0.43333333333333335
513924,-0.2773000000000001,14.7,0.4411764705882353
529096,-0.24570000000000003,15.09,0.4411764705882353
543754,-0.31829999999999997,15.53,0.631578947368421
558592,-0.23710000000000014,14.66,0.45714285714285713
573136,-0.26990000000000003,15.2,0.2857142857142857
587720,-0.2753000000000001,15.01,0.5357142857142857
602482,-0.26890000000000003,15.02,0.41379310344827586
617570,-0.30450000000000005,15.66,0.5294117647058824
631952,-0.23720000000000002,13.94,0.41025641025641024
646204,-0.20430000000000015,15.0,0.41935483870967744
661214,-0.33560000000000023,14.32,0.5263157894736842
676316,-0.2819000000000001,14.56,0.525
691092,-0.24090000000000006,13.99,0.8333333333333334
705852,-0.2639000000000001,13.85,0.2857142857142857
720606,-0.2536000000000001,16.44,0.3870967741935484
734760,-0.29040000000000005,16.67,0.34
749495,-0.23900000000000005,16.13,0.325
764242,-0.30129999999999996,16.7,0.28205128205128205
778847,-0.29749999999999993,16.47,0.4
793564,-0.3114000000000001,16.22,0.45
808653,-0.3139000000000001,15.27,0.3783783783783784
823258,-0.22100000000000017,15.48,0.6666666666666666
837381,-0.3053,14.18,0.4482758620689655
852131,-0.25160000000000005,15.53,0.41379310344827586
866770,-0.2663999999999999,13.93,0.5925925925925926
881620,-0.24770000000000006,15.26,0.4634146341463415
895827,-0.2654,13.77,0.5172413793103449
910548,-0.27860000000000007,14.11,0.4482758620689655
925567,-0.28590000000000004,15.71,0.2777777777777778
940329,-0.3072,15.51,0.6
955645,-0.27130000000000004,15.1,0.41935483870967744
970114,-0.2567000000000002,13.41,0.34782608695652173
985237,-0.24740000000000006,15.24,0.32432432432432434
1000187,-0.29490000000000016,16.18,0.2857142857142857
1015039,-0.2850000000000001,15.09,0.3870967741935484
1029869,-0.3440999999999999,14.81,0.43333333333333335
1044644,-0.26720000000000016,14.37,0.42424242424242425
1059604,-0.3060000000000001,15.35,0.4411764705882353
1074103,-0.26850000000000024,14.87,0.3793103448275862
1088918,-0.31010000000000004,15.11,0.3488372093023256
1103864,-0.3041,14.19,0.3170731707317073
1118361,-0.2836000000000002,13.84,0.4782608695652174
1133462,-0.27480000000000016,15.41,0.5
1148160,-0.28220000000000006,15.11,0.4827586206896552
1163060,-0.2802,15.75,0.3076923076923077
1178176,-0.29440000000000005,14.47,0.2647058823529412
1193171,-0.2984,13.93,0.3939393939393939
1208149,-0.30950000000000016,13.73,0.39285714285714285
1223105,-0.3000999999999999,14.19,0.2857142857142857
1238169,-0.2839,15.06,0.4827586206896552
1253288,-0.2714,14.82,0.4
1268183,-0.2905000000000001,15.85,0.4
1283198,-0.3116,15.73,0.5454545454545454
1298014,-0.2765000000000002,15.54,0.34210526315789475
1313381,-0.30029999999999996,14.41,0.4444444444444444
1328128,-0.32510000000000006,14.47,0.4
1343222,-0.2836000000000001,14.66,0.6363636363636364
1358044,-0.3136,15.85,0.4117647058823529
1373346,-0.3297000000000001,14.02,0.4666666666666667
1388091,-0.28900000000000003,14.54,0.5263157894736842
1403049,-0.29339999999999994,14.66,0.391304347826087
1418099,-0.3035999999999999,14.84,0.2916666666666667
1432865,-0.27810000000000007,15.17,0.35714285714285715
1448579,-0.2654,15.4,0.358974358974359
