timestep,reward,Avg Turns,Cond_Knock
120,0.1655999999999997,27.26,0.5584415584415584
16162,0.18219999999999975,26.92,0.5869565217391305
30337,0.16539999999999971,26.39,0.5
43926,0.17509999999999973,27.37,0.40641711229946526
57432,0.1581999999999998,26.88,0.5214723926380368
70592,0.18999999999999975,27.27,0.4774193548387097
84164,0.1519999999999998,26.98,0.42857142857142855
98006,0.1558999999999998,28.86,0.4022346368715084
112132,0.14999999999999972,27.31,0.49044585987261147
125882,0.15969999999999984,28.27,0.46835443037974683
139794,0.16759999999999978,28.5,0.4230769230769231
153082,0.10879999999999994,28.08,0.42245989304812837
167432,0.18099999999999977,27.39,0.5189873417721519
181381,0.17639999999999972,28.44,0.506578947368421
195745,0.17339999999999983,30.71,0.4036144578313253
210312,0.16949999999999982,28.59,0.40217391304347827
224352,0.12609999999999988,30.13,0.38860103626943004
238845,0.1189,29.96,0.3939393939393939
253417,0.15079999999999974,31.2,0.41875
267934,0.15879999999999972,31.75,0.375
281513,0.16779999999999975,29.17,0.34196891191709844
295745,0.15109999999999985,29.35,0.4034090909090909
309935,0.1196999999999998,29.57,0.4378698224852071
324874,0.17499999999999974,30.12,0.4452054794520548
339099,0.09999999999999992,32.29,0.27391304347826084
353361,0.13839999999999983,30.78,0.31981981981981983
368652,0.11299999999999993,29.65,0.445859872611465
383257,0.14719999999999975,30.24,0.4375
397884,0.13409999999999983,31.09,0.3142857142857143
412001,0.17339999999999967,29.42,0.31555555555555553
426492,0.19809999999999975,30.0,0.3435897435897436
440900,0.1434999999999998,29.47,0.3333333333333333
455383,0.10189999999999998,30.98,0.37433155080213903
470140,0.1600999999999998,30.62,0.3526570048309179
484703,0.09419999999999992,31.92,0.3316062176165803
499403,0.13039999999999982,29.5,0.3482587064676617
513924,0.15039999999999984,30.38,0.3298429319371728
529096,0.1531999999999999,32.43,0.3315508021390374
543754,0.12079999999999994,30.74,0.37341772151898733
558592,0.11479999999999993,30.15,0.365
573136,0.1245999999999998,31.93,0.33668341708542715
587720,0.1331999999999999,32.1,0.3588235294117647
602482,0.08539999999999998,33.7,0.2638888888888889
617570,0.10689999999999993,29.77,0.33163265306122447
631952,0.13699999999999993,31.36,0.391304347826087
646204,0.12829999999999978,33.09,0.3064516129032258
661214,0.09059999999999997,31.38,0.32673267326732675
676316,0.11739999999999984,30.84,0.28708133971291866
691092,0.12879999999999986,31.68,0.37222222222222223
705852,0.12359999999999992,32.5,0.2994652406417112
720606,0.07970000000000005,30.15,0.31443298969072164
734760,0.14519999999999988,32.71,0.33668341708542715
749495,0.1709999999999998,31.86,0.3597560975609756
764242,0.17629999999999982,32.57,0.32065217391304346
778847,0.06170000000000003,30.47,0.358695652173913
793564,0.13729999999999978,32.09,0.36363636363636365
808653,0.1836999999999998,30.97,0.28095238095238095
823258,0.13839999999999977,30.06,0.3448275862068966
837381,0.1529999999999998,32.07,0.30049261083743845
852131,0.14909999999999976,32.88,0.2803738317757009
866770,0.1724999999999998,31.59,0.3316062176165803
881620,0.1118999999999998,30.64,0.2850678733031674
895827,0.09530000000000001,33.12,0.2623762376237624
910548,0.13529999999999992,33.63,0.3333333333333333
925567,0.0973,33.92,0.28426395939086296
940329,0.08149999999999999,30.39,0.2850467289719626
955645,0.07410000000000008,31.86,0.2978723404255319
970114,0.1316,30.73,0.2857142857142857
985237,0.07610000000000007,33.33,0.2619047619047619
1000187,0.10889999999999991,31.91,0.3037383177570093
1015039,0.06400000000000006,31.91,0.3111111111111111
1029869,0.10370000000000003,31.4,0.2761904761904762
1044644,0.13769999999999974,32.52,0.2636363636363636
1059604,0.10909999999999993,33.29,0.27467811158798283
1074103,0.1273999999999999,32.24,0.26991150442477874
1088918,0.16459999999999972,34.19,0.24561403508771928
1103864,0.07460000000000008,30.75,0.3076923076923077
1118361,0.18019999999999978,32.93,0.2849740932642487
1133462,0.11469999999999977,33.37,0.19815668202764977
1148160,0.13699999999999984,31.1,0.3177083333333333
1163060,0.16919999999999977,32.28,0.242152466367713
1178176,0.15829999999999977,33.95,0.2311111111111111
1193171,0.13489999999999985,33.15,0.33146067415730335
1208149,0.12209999999999993,33.35,0.24074074074074073
1223105,0.11119999999999995,32.33,0.28717948717948716
1238169,0.10229999999999992,34.45,0.24598930481283424
1253288,0.05550000000000002,34.36,0.23963133640552994
1268183,0.16939999999999988,32.34,0.31343283582089554
1283198,0.10069999999999998,32.21,0.31213872832369943
1298014,0.1426999999999997,32.09,0.33136094674556216
1313381,0.09110000000000004,32.65,0.28272251308900526
1328128,0.13619999999999985,33.57,0.24561403508771928
1343222,0.14259999999999973,29.7,0.29850746268656714
1358044,0.11889999999999996,33.6,0.2857142857142857
1373346,0.10039999999999996,34.29,0.25311203319502074
1388091,0.10550000000000001,32.65,0.2890995260663507
1403049,0.15409999999999985,34.6,0.2559241706161137
1418099,0.15759999999999996,32.89,0.2318181818181818
1432865,0.11949999999999988,30.86,0.32989690721649484
1448579,0.19439999999999977,32.87,0.2488479262672811
