timestep,reward
136,-0.33770000000000006
9608,-0.3958999999999999
18990,-0.3839999999999999
27988,-0.4208
37137,-0.4439999999999999
46048,-0.34749999999999986
54879,-0.3529
63842,-0.40209999999999996
72984,-0.38990000000000014
81967,-0.4235999999999999
90818,-0.36099999999999993
99568,-0.38720000000000004
108760,-0.46319999999999983
118015,-0.3880000000000001
126939,-0.4184000000000001
135584,-0.40669999999999995
144732,-0.29220000000000007
153724,-0.2999000000000001
163176,-0.43570000000000014
172077,-0.4207000000000001
180964,-0.4208000000000001
189950,-0.4075000000000001
199002,-0.4116000000000002
208140,-0.41529999999999995
216848,-0.4413000000000001
225975,-0.4106000000000001
235029,-0.36219999999999997
244182,-0.35379999999999995
253162,-0.4108
261950,-0.40230000000000005
271059,-0.3894
279964,-0.4158
288994,-0.39599999999999985
297717,-0.3644000000000001
306598,-0.38489999999999985
315679,-0.3345
324593,-0.35150000000000003
333246,-0.37959999999999994
342071,-0.37410000000000004
351164,-0.4108999999999999
360098,-0.45819999999999994
369210,-0.42199999999999993
378086,-0.38220000000000015
387059,-0.32549999999999996
396261,-0.44190000000000007
405144,-0.37290000000000023
414058,-0.36289999999999994
423152,-0.3606000000000001
432324,-0.44590000000000024
441219,-0.4269999999999999
