timestep,reward
136,0.1573
11137,0.054899999999999984
22312,0.12480000000000002
33150,0.028599999999999993
44260,0.026900000000000004
55576,0.07029999999999997
66165,0.09040000000000002
77566,-0.008400000000000001
88962,0.053399999999999996
100227,0.07480000000000002
111464,0.049599999999999984
122812,0.015199999999999984
133686,0.042700000000000016
145747,0.013199999999999996
157513,0.1027
168408,-0.0207
179613,0.01219999999999998
190884,0.09810000000000003
201692,0.17959999999999998
212494,0.07810000000000002
223559,0.0658
235442,0.034300000000000004
246304,0.07420000000000002
257700,0.1023
269011,0.04419999999999998
280329,0.1198
291844,-0.035399999999999994
303162,0.026799999999999997
314905,0.06090000000000001
326067,0.10400000000000001
337340,0.10280000000000002
348336,0.05459999999999999
359491,0.009300000000000013
370435,0.12120000000000002
381351,-0.06
392442,-0.002500000000000038
403637,0.02959999999999999
414930,0.10170000000000001
426324,0.0713
437635,0.06709999999999998
448693,0.02630000000000002
459556,0.0665
470304,0.010300000000000024
481378,0.036799999999999986
492134,0.1184
503740,0.07530000000000002
514804,0.0854
525904,0.07509999999999999
537286,0.085
548687,0.0583
