timestep,reward,Avg Turns,Gin,Knock,Knock_Possible,Cond_Knock
136,0.13729999999999984,29.07,2,79,106,0.7452830188679245
11908,0.10719999999999988,31.34,2,71,105,0.6761904761904762
22220,0.13939999999999986,28.84,3,78,98,0.7959183673469388
32558,0.08609999999999994,31.16,1,72,95,0.7578947368421053
43846,0.1153999999999999,31.44,3,72,108,0.6666666666666666
54631,0.14859999999999984,29.77,4,77,109,0.7064220183486238
65904,0.14939999999999978,29.1,2,82,127,0.6456692913385826
77247,0.16399999999999978,31.08,1,88,108,0.8148148148148148
88123,0.1539999999999998,30.89,3,81,108,0.75
98895,0.15349999999999978,30.9,4,78,107,0.7289719626168224
109682,0.1420999999999998,31.83,2,81,105,0.7714285714285715
120774,0.16839999999999974,31.72,6,76,102,0.7450980392156863
131721,0.12159999999999982,31.89,1,81,110,0.7363636363636363
142574,0.1597999999999997,26.8,1,88,107,0.822429906542056
153494,0.17269999999999977,29.61,4,82,105,0.780952380952381
164453,0.1511999999999997,30.99,1,86,114,0.7543859649122807
175709,0.17819999999999975,29.8,4,85,113,0.7522123893805309
187216,0.09399999999999993,29.82,1,74,105,0.7047619047619048
198217,0.08430000000000006,31.44,3,68,96,0.7083333333333334
208911,0.08580000000000007,31.67,1,70,96,0.7291666666666666
220003,0.10739999999999991,32.5,3,70,93,0.7526881720430108
231044,0.10879999999999995,34.17,3,69,121,0.5702479338842975
242210,0.15989999999999976,30.93,7,71,95,0.7473684210526316
253260,0.1470999999999998,35.24,4,76,115,0.6608695652173913
264031,0.16629999999999975,30.6,2,88,113,0.7787610619469026
275460,0.1657999999999998,31.77,4,81,108,0.75
287091,0.1782999999999997,33.11,6,78,106,0.7358490566037735
298765,0.13219999999999973,32.88,0,87,114,0.7631578947368421
310167,0.14889999999999973,30.79,3,81,116,0.6982758620689655
321252,0.13679999999999984,33.11,2,81,127,0.6377952755905512
332354,0.1352999999999998,32.55,2,81,112,0.7232142857142857
343158,0.10709999999999993,36.27,1,77,112,0.6875
354505,0.11909999999999986,32.97,2,77,105,0.7333333333333333
365804,0.09989999999999996,34.49,3,70,98,0.7142857142857143
376309,0.10979999999999995,31.87,3,74,102,0.7254901960784313
387298,0.10329999999999999,36.49,3,71,97,0.7319587628865979
398444,0.17649999999999974,32.11,3,85,108,0.7870370370370371
410094,0.17499999999999968,32.87,1,91,131,0.6946564885496184
